123
ESP32_TEST
45.20,1.30,29.50
45.20,1.30,29.50
45,1.2,30
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45,1.2,30
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45,1.2,30
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
45.20,1.30,29.50
